################################################################################
# Copyright (c) 2010, 2023 Contributors to the Eclipse Foundation
#
# See the NOTICE file(s) distributed with this work for additional
# information regarding copyright ownership.
#
# This program and the accompanying materials are made available under the terms
# of the MIT License which is available at https://opensource.org/licenses/MIT
#
# SPDX-License-Identifier: MIT
################################################################################

# time                 p.x                     p.x'
0.0                    0.0                     1.0
9.999999999999999e-5   1.0000000000000003e-4   1.0
0.0011                 0.0011000000000000005   1.0
0.0111                 0.011100000000000006    1.0
0.1111                 0.11110000000000006     1.0
0.6111                 0.6111000000000003      1.0
1.1111                 1.1111000000000004      1.0
1.6111                 1.6111000000000006      1.0
2.1111                 2.111100000000001       1.0
2.330000000000001      2.3300000000000014      1.0
# time                 p.x                     p.x'
2.330000000000001      0.0                     1.0
2.330100000000001      1.0000000000000003e-4   1.0
2.331100000000001      0.0011000000000000005   1.0
2.341100000000001      0.011100000000000006    1.0
2.441100000000001      0.11110000000000006     1.0
2.941100000000001      0.6111000000000003      1.0
3.441100000000001      1.1111000000000004      1.0
3.941100000000001      1.6111000000000006      1.0
4.4411000000000005     2.111100000000001       1.0
4.660000000000002      2.330000000000002       1.0
# time                 p.x                     p.x'
4.660000000000002      0.0                     1.0
4.660100000000002      1.0000000000000003e-4   1.0
4.661100000000002      0.0011000000000000005   1.0
4.671100000000002      0.011100000000000006    1.0
4.7711000000000015     0.11110000000000006     1.0
5.0                    0.33999999999999875     1.0
